file,xmin,ymin,xmax,ymax
000001.txt,0.25,0.67969,0.063542,0.063542
000001.txt,0.30469,0.6503899999999999,0.063542,0.063542
000001.txt,0.35938000000000003,0.64258,0.063542,0.063542
000001.txt,0.42578,0.75195,0.063542,0.063542
000001.txt,0.44336000000000003,0.6933600000000001,0.063542,0.063542
000001.txt,0.44922,0.64844,0.063542,0.063542
000001.txt,0.38672,0.5996100000000001,0.063542,0.063542
000001.txt,0.42383000000000004,0.57813,0.063542,0.063542
000001.txt,0.49218999999999996,0.6621100000000001,0.063542,0.063542
000001.txt,0.5058600000000001,0.64063,0.063542,0.063542
000001.txt,0.54102,0.57031,0.063542,0.063542
000001.txt,0.56055,0.49023,0.063542,0.063542
000001.txt,0.50195,0.43359,0.063542,0.063542
000001.txt,0.57422,0.3457,0.063542,0.063542
000001.txt,0.60352,0.35156,0.063542,0.063542
000001.txt,0.66602,0.32227,0.063542,0.063542
000001.txt,0.64648,0.41602,0.063542,0.063542
000001.txt,0.70117,0.40039,0.063542,0.063542
000001.txt,0.70508,0.35938000000000003,0.063542,0.063542
000001.txt,0.74219,0.41406000000000004,0.063542,0.063542
000001.txt,0.75,0.33203,0.063542,0.063542
000001.txt,0.78906,0.39648,0.063542,0.063542
000001.txt,0.81445,0.44922,0.063542,0.063542
000001.txt,0.8320299999999999,0.33789,0.063542,0.063542
000001.txt,0.8632799999999999,0.44922,0.063542,0.063542
000001.txt,0.88281,0.38281,0.063542,0.063542
000001.txt,0.92969,0.38866999999999996,0.063542,0.063542
000001.txt,0.9335899999999999,0.53125,0.063542,0.063542
000001.txt,0.71094,0.36328,0.063542,0.063542
000002.txt,0.25586,0.57227,0.063542,0.063542
000002.txt,0.30078,0.42578,0.063542,0.063542
000002.txt,0.44336000000000003,0.4375,0.063542,0.063542
000002.txt,0.5664100000000001,0.45508000000000004,0.063542,0.063542
000002.txt,0.6582,0.46484,0.063542,0.063542
000002.txt,0.63281,0.54102,0.063542,0.063542
000002.txt,0.66992,0.5664100000000001,0.063542,0.063542
000002.txt,0.6816399999999999,0.5898399999999999,0.063542,0.063542
000002.txt,0.76367,0.6289100000000001,0.063542,0.063542
000002.txt,0.79492,0.6308600000000001,0.063542,0.063542
000002.txt,0.80469,0.5683600000000001,0.063542,0.063542
000002.txt,0.8554700000000001,0.60156,0.063542,0.063542
000002.txt,0.76367,0.54883,0.063542,0.063542
000002.txt,0.91406,0.7871100000000001,0.063542,0.063542
000002.txt,0.88281,0.61523,0.063542,0.063542
000002.txt,0.41406000000000004,0.8847700000000001,0.063542,0.063542
000002.txt,0.43555,0.70703,0.063542,0.063542
000002.txt,0.39453,0.64648,0.063542,0.063542
000002.txt,0.375,0.6210899999999999,0.063542,0.063542
000002.txt,0.29491999999999996,0.6601600000000001,0.063542,0.063542
000003.txt,0.5918,0.29491999999999996,0.063542,0.063542
000003.txt,0.61523,0.32813000000000003,0.063542,0.063542
000003.txt,0.68945,0.33789,0.063542,0.063542
000003.txt,0.7148399999999999,0.35547,0.063542,0.063542
000003.txt,0.75195,0.38281,0.063542,0.063542
000003.txt,0.6308600000000001,0.42578,0.063542,0.063542
000003.txt,0.7168,0.45313000000000003,0.063542,0.063542
000003.txt,0.7460899999999999,0.45898,0.063542,0.063542
000003.txt,0.8925799999999999,0.49805,0.063542,0.063542
000003.txt,0.9238299999999999,0.5957,0.063542,0.063542
000003.txt,0.55078,0.4668,0.063542,0.063542
000003.txt,0.5683600000000001,0.50781,0.063542,0.063542
000003.txt,0.64063,0.47461000000000003,0.063542,0.063542
000003.txt,0.57422,0.5996100000000001,0.063542,0.063542
000003.txt,0.66602,0.58398,0.063542,0.063542
000003.txt,0.68945,0.67969,0.063542,0.063542
000003.txt,0.5878899999999999,0.71875,0.063542,0.063542
000003.txt,0.51563,0.8320299999999999,0.063542,0.063542
000003.txt,0.63672,0.78125,0.063542,0.063542
000004.txt,0.2207,0.35741999999999996,0.063542,0.063542
